,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR,scheduleStrength,,
930,26,47.30,47.95,-0.65,32.06,12.10,15.38,1.05,,
2264,31,47.28,35.08,12.20,27.80,10.16,9.02,-0.01,,
3117,9,47.25,39.61,7.64,31.08,10.88,19.67,2.04,,
8079,14,47.22,8.50,38.73,16.30,12.04,10.67,-1.67,,
230,10,47.19,41.28,5.91,21.45,19.50,11.92,2.03,,
4681,6,47.09,33.53,13.56,26.46,16.31,27.20,0.19,,
2994,14,47.08,28.01,19.06,33.74,11.17,19.53,-0.67,,
4096,9,46.96,4.61,42.35,26.30,13.49,20.01,-0.14,,
216,5,46.93,7.93,39.00,28.17,16.06,21.98,-1.03,,
3075,17,46.90,65.49,-18.59,13.37,20.61,5.35,0.30,,
5056,7,46.89,32.27,14.62,31.09,15.18,17.03,-0.51,,
4003,26,46.86,49.76,-2.90,27.39,13.03,8.60,2.14,,
4499,13,46.79,30.03,16.77,31.40,19.02,9.87,-0.93,,
61,2,46.79,32.91,13.88,35.64,8.73,33.75,-1.32,,
7797,10,46.70,37.02,9.69,27.35,13.32,20.44,0.83,,
3504,46,46.68,33.57,13.11,18.22,20.08,7.72,1.00,,
1138,16,46.68,26.88,19.80,32.62,17.14,19.59,0.05,,
6498,7,46.51,18.56,27.95,28.81,16.06,10.39,0.41,,
7197,3,46.48,11.79,34.69,24.58,12.21,19.06,-1.62,,
624,3,46.42,15.56,30.87,32.82,13.77,25.49,-0.37,,
4778,4,46.39,11.97,34.42,15.87,14.37,8.35,-2.77,,
539,3,46.27,26.95,19.32,36.09,8.91,31.01,-0.54,,
7178,15,46.25,48.95,-2.70,31.97,7.85,29.82,0.12,,
5653,24,46.23,39.30,6.93,27.28,12.19,9.52,-0.61,,
589,14,46.20,10.68,35.52,37.76,8.02,35.98,0.24,,
4377,5,46.14,19.17,26.97,29.38,13.65,24.97,-0.80,,
5414,4,46.11,12.81,33.30,29.17,15.65,23.65,-0.09,,
1506,14,46.09,30.19,15.90,30.61,15.69,7.88,-0.66,,
7790,14,46.06,30.86,15.20,22.92,16.30,9.90,-0.03,,
319,14,46.06,42.91,3.15,32.12,16.12,24.23,-0.02,,
5618,18,46.05,43.53,2.52,28.93,13.58,23.31,1.38,,
190,8,46.05,40.13,5.92,30.80,13.92,26.71,0.88,,
2240,15,45.99,18.89,27.10,27.69,16.41,21.58,0.26,,
4068,10,45.97,27.19,18.78,24.02,21.20,13.85,-0.36,,
746,12,45.91,32.01,13.90,23.74,11.75,17.23,0.06,,
1769,6,45.88,31.07,14.81,29.19,13.65,29.53,0.50,,
126,25,45.87,25.53,20.34,22.48,15.00,5.89,0.51,,
8046,11,45.87,22.42,23.45,22.77,13.72,17.74,-0.51,,
1259,36,45.82,27.31,18.51,22.37,21.25,2.78,-0.50,,
401,11,45.77,20.39,25.38,36.94,7.44,33.93,0.95,,
5885,17,45.74,34.16,11.58,30.40,16.83,25.72,0.86,,
3130,14,45.73,22.62,23.11,32.96,10.74,22.68,-1.36,,
1261,6,45.71,20.27,25.44,37.86,8.32,25.95,-1.70,,
4919,11,45.69,34.69,11.00,30.78,11.11,28.31,0.99,,
1114,10,45.68,22.94,22.73,19.13,22.15,8.13,0.08,,
4009,19,45.56,40.26,5.30,21.50,21.12,10.24,-0.48,,
5137,36,45.50,33.81,11.69,31.97,11.53,20.38,1.40,,
4907,8,45.50,13.63,31.87,25.77,12.20,19.31,-0.84,,
3566,10,45.49,12.49,33.00,23.50,17.83,9.34,-0.52,,
7160,4,45.49,20.62,24.87,26.43,15.55,18.34,-1.56,,
1640,10,45.46,18.33,27.13,26.21,15.80,12.03,-2.08,,
5965,20,45.43,24.34,21.09,25.80,6.92,22.24,0.13,,
6814,18,45.42,39.18,6.24,35.20,6.60,27.59,0.44,,
3534,1,45.34,13.63,31.71,32.82,6.65,23.42,-0.31,,
3314,4,45.32,35.83,9.49,34.82,14.26,24.49,-2.00,,
3654,9,45.27,27.98,17.29,27.34,7.15,22.51,0.96,,
7042,9,45.26,13.26,32.00,39.22,8.12,32.85,-0.02,,
3414,9,45.05,42.13,2.92,28.02,9.79,20.92,2.57,,
6704,26,45.05,55.19,-10.14,30.42,13.26,26.63,1.79,,
8215,35,45.01,33.10,11.91,11.03,2.63,10.66,0.04,,
5638,40,45.00,29.24,15.76,21.48,14.62,15.05,-0.66,,
7169,6,44.88,22.47,22.41,29.75,12.75,15.09,0.64,,
1403,31,44.82,46.52,-1.70,26.72,12.82,10.56,1.88,,
3882,13,44.82,34.86,9.95,26.91,21.48,10.71,0.71,,
